CMDLINE python3 test/xmr4el/test_train_pipeline.py
MEM 4491.261719 1760698679.2772
MEM 4079.636719 1760698679.3784
MEM 2868.382812 1760698679.4789
MEM 2718.402344 1760698679.5803
MEM 3817.902344 1760698679.6842
MEM 3952.871094 1760698679.7850
MEM 3059.906250 1760698679.8860
MEM 3087.378906 1760698679.9874
MEM 3879.914062 1760698680.0884
MEM 3907.238281 1760698680.1892
MEM 2837.953125 1760698680.2900
MEM 2854.496094 1760698680.3912
MEM 4027.664062 1760698680.4921
MEM 4055.433594 1760698680.5930
MEM 2934.988281 1760698680.6959
MEM 2841.445312 1760698680.7971
MEM 4258.957031 1760698680.8981
MEM 4402.972656 1760698680.9990
MEM 3035.359375 1760698681.1000
MEM 2800.683594 1760698681.2013
MEM 3943.132812 1760698681.3020
MEM 3788.238281 1760698681.4032
MEM 3188.273438 1760698681.5041
MEM 3061.582031 1760698681.6049
MEM 3354.847656 1760698681.7063
MEM 3642.968750 1760698681.8070
MEM 3116.957031 1760698681.9080
MEM 2889.074219 1760698682.0111
MEM 3890.765625 1760698682.1160
MEM 4237.292969 1760698682.2178
MEM 4121.195312 1760698682.3259
MEM 2622.984375 1760698682.4279
MEM 3630.855469 1760698682.5291
MEM 4556.140625 1760698682.6320
MEM 3657.406250 1760698682.7330
MEM 2407.925781 1760698682.8340
MEM 3017.066406 1760698682.9351
MEM 3893.535156 1760698683.0362
MEM 4326.953125 1760698683.1373
MEM 2737.484375 1760698683.2399
MEM 2834.316406 1760698683.3410
MEM 3988.824219 1760698683.4420
MEM 3917.582031 1760698683.5430
MEM 2468.441406 1760698683.6441
MEM 3105.855469 1760698683.7452
MEM 4056.273438 1760698683.8480
MEM 3718.386719 1760698683.9491
MEM 2278.917969 1760698684.0500
MEM 3503.125000 1760698684.1512
MEM 4098.109375 1760698684.2523
MEM 3337.078125 1760698684.3560
MEM 2605.140625 1760698684.4571
MEM 3492.492188 1760698684.5580
MEM 3955.125000 1760698684.6590
MEM 2762.132812 1760698684.7620
MEM 2930.082031 1760698684.8631
MEM 3927.343750 1760698684.9642
MEM 3720.328125 1760698685.0652
MEM 2388.320312 1760698685.1662
MEM 3251.675781 1760698685.2670
MEM 3746.660156 1760698685.3680
MEM 3737.503906 1760698685.4690
MEM 2527.105469 1760698685.5692
MEM 3162.613281 1760698685.6701
MEM 3771.859375 1760698685.7713
MEM 3479.656250 1760698685.8737
MEM 2707.042969 1760698685.9746
MEM 2836.066406 1760698686.0803
MEM 3543.464844 1760698686.1811
MEM 4192.457031 1760698686.2823
MEM 3077.164062 1760698686.3835
MEM 2590.429688 1760698686.4843
MEM 3720.875000 1760698686.5882
MEM 3794.714844 1760698686.6892
MEM 2867.214844 1760698686.7899
MEM 2939.523438 1760698686.8913
MEM 3805.128906 1760698686.9921
MEM 3713.332031 1760698687.0933
MEM 2632.894531 1760698687.1941
MEM 3561.500000 1760698687.2992
MEM 3713.503906 1760698687.4002
MEM 2958.152344 1760698687.5015
MEM 2572.492188 1760698687.6020
MEM 2453.320312 1760698687.7029
MEM 2043.925781 1760698687.8041
MEM 2871.207031 1760698687.9052
MEM 4645.164062 1760698688.0061
MEM 4229.164062 1760698688.1082
MEM 2571.871094 1760698688.2091
MEM 2651.007812 1760698688.3102
MEM 4154.812500 1760698688.4143
MEM 4449.648438 1760698688.5151
MEM 3605.921875 1760698688.6159
MEM 2249.218750 1760698688.7169
MEM 3809.015625 1760698688.8202
MEM 4628.089844 1760698688.9212
MEM 4052.929688 1760698689.0241
MEM 1896.980469 1760698689.1292
MEM 3498.773438 1760698689.2302
MEM 3981.414062 1760698689.3349
